project_num,project_title,abstract_text,phr_text,fiscal_year,award_amount,direct_cost_amt,indirect_cost_amt,funding_mechanism,activity_code,agency_ic_admin.name,organization.org_name,organization.org_state,organization.org_city,organization_type.name,organization.org_zipcode,spending_categories_desc,investigators
3P30DK079337-12S1,Revision application for Chronic Disease and Health Disparities to the UAB-UCSD O'Brien Center for Acute Kidney Injury Research,"The overarching goal of this competitive revision application is to extend the mission of the University of
Alabama at Birmingham (UAB)-University of California, San Diego (UCSD) Oâ€™Brien Center for Acute Kidney
Injury (AKI) Research by defining the impact of AKI on the excess burden of chronic kidney disease (CKD)
in the Southeastern US. The clustering of major CKD risk factors such as black race, obesity and diabetes
in our region is a key driver of the high prevalence of CKD in the Southeastern US. As such, identifying
potential interventions to reduce the incidence and progression of CKD in these vulnerable populations is
critical for reducing the substantial social and financial costs associated with CKD and related health
disparities (stroke, heart disease, death) in our region. AKI affects as many as 20% of hospitalized patients
and is a recognized risk factor for the development of CKD, cardiovascular disease and death. These
outcomes may be modifiable by care provided in the post-AKI period, yet optimum care for care of AKI
survivors is not well defined and is often fragmented after discharge. Disadvantaged patients are at
especially high risk for inappropriate follow-up and low quality of care, suggesting that disparities in AKI
outcomes contribute to the excess risk of incident and progressive CKD in high-risk populations in our
region. However, progress in this area is hampered by a lack of data on the degree to which differences in
AKI outcomes contribute to CKD disparities in the Southeastern US, and potential interventions that may
target these disparities. Accordingly, the primary focus of this application is to define the impact of AKI
during acute hospitalization on incident and progressive CKD; how these associations differ by race, obesity
and diabetes status; and pilot a dedicated AKI follow-up clinic as a potential intervention to address
disparities in these outcomes. Specifically, Aim 1 will leverage an established, ongoing regional CTSA
collaborationâ€”the Southeastern Shared Health Research Information Network (SE-SHRINE)â€”to examine
all hospitalized AKI patients within four centers (UAB, MUSC, UAMS, U Kentucky) and link them to the US
Renal Data Systems to define disparities in AKI outcomes ([i] severity and duration of AKI; [ii] recovery of
dialysis-dependent AKI or development of ESRD after discharge; and [iii] associated health disparities such
as death and cardiovascular disease) by race, obesity and diabetes. Aim 2 will assess the feasibility and
collect key efficacy measures of a dedicated AKI follow-up clinic for patients with AKI discharged to the
community at three Southeastern CTSA hubs (UAB, Vanderbilt, U Kentucky). We will leverage the
resources available in Oâ€™Brien Cores to integrate existing intellectual and technological resources of UAB
and facilitate the success of this project. This project will help build a collaborative research network for AKI
research that could serve as a platform for multi-center, transdisciplinary science and clinical trials focused
on reducing the burden of CKD and related health disparities in the Southeastern US.","PROJECT NARRATIVE
Acute kidney injury (AKI) is a major cause for morbidity and mortality in hospitalized patients and likely
contributes to disparities in chronic kidney disease in the Southeastern US. This application will extend the
mission of the UAB-UCSD Oâ€™Brien Center for AKI research by addressing major gaps in our understanding
of how differences in AKI outcomes may contribute to disparities in chronic disease burden in our region.",2019,884182,748370,135812,Research Centers,P30,National Institute of Diabetes and Digestive and Kidney Diseases,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,,ANUPAM  AGARWAL
5P30DK079337-12,Administrative Core,"Project Summary
 The University of Alabama at Birmingham (UAB)-University of California at San Diego (UCSD) O'Brien
Center for Acute Kidney Injury (AKI) is designed to provide scientifically rigorous, state-of-the-art methodologies
in a cost-effective manner to foster investigations that will (i) continue to attract new scientific expertise into the
study of the basic mechanisms of kidney diseases, specifically AKI; (ii) encourage interdisciplinary research; (iii)
explore new basic areas with translational potential; (iv) generate Pilot and Feasibility studies that provide new
and innovative approaches to study kidney disease; and (v) apply scientifically rigorous, state-of-the-art
methodologies in a cost-effective manner to address experimental questions to advance understanding of the
pathophysiology of AKI. The Administrative Core will coordinate and integrate the diverse activities of the UAB-
UCSD O'Brien Center, facilitate interactions and collaborations among the research base, ensure quality control,
rigor and reproducibility of the core services and promote scientific development. The Administrative Core
includes a Biostatistical Resource (BR), which will provide statistical support for the cores and research and pilot
projects of the O'Brien Center.
 The administrative structure with clear lines of authority has been developed to ensure that the goals and
objectives of the Center are achieved. The Director and Associate Directors will be advised by an Internal
Advisory Committee, who were carefully selected based on their experience in directing high quality large
research programs and include the Directors of the Clinical and Translational Science Awards (CTSA) at both
UAB and UCSD. In addition, the Center leadership will be advised by an External Advisory Committee, a Pilot
and Feasibility (PAF) Program Committee and a Scientific Advisory Committee for each Core.
 The Administrative Core will continue to oversee the PAF Program and will be responsible for evaluating
the Pilot Program's efficacy in promoting high quality AKI-related research that leads to extramural funding and
publications. In addition, the Administrative Core will organize and support an Enrichment Program consisting of
symposia, seminars with visiting speakers, journal clubs/work-in progress sessions, interface with CTSA
enrichment programs, Summer Students Training Program, and an Annual Comprehensive Research
Symposium. The Administrative Core has also established a communication network through email, newsletters,
live video conferencing and a website to inform Center investigators of the activities and funding opportunities,
AKI-related news, as well as the availability of new reagents and technologies through the Center. Therefore,
the Administrative Core will enable optimal coordination of the various Center components through its
committees, regularly scheduled meetings, seminar series, web-based communication mechanisms and video
conferences between participating institutions.",,2019,166233,120365,45868,Research Centers,P30,National Institute of Diabetes and Digestive and Kidney Diseases,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,Domestic Higher Education,352940001,Kidney Disease,ANUPAM  AGARWAL
3P30DK079337-12S3,UAB-UCSD O'Brien Center for Acute Kidney Injury Research,"Project Summary
 Kidney diseases in general and acute kidney injury (AKI) in particular impose substantial morbidity
and mortality; these remain unabated in recent decades despite concerted efforts to reduce both. The
overall mission of the University of Alabama at Birmingham (UAB)-University of California San Diego
(UCSD) O'Brien Center for AKI Research is to improve the health of patients by fostering research
specifically targeted to the prevention and treatment of AKI and its complications. To achieve this mission,
this Center crosses institutional boundaries and research fields to harness the momentum and ingenuity of
ongoing pre-clinical and clinical research in both institutions. The following aims are proposed: i) facilitate
hypothesis-driven research through shared core facilities and leverage these technologies into new projects
and collaborations, (ii) foster relevant interactions among UAB-UCSD investigators from different disciplines
and extend these interactions to investigators from multiple institutions, (iii) provide, through the Biomedical
Research Cores, a Pilot and Feasibility Grants (PAF) Program, and attract new and established
investigators to AKI research by capitalizing on our research cores and infrastructure, (iv) build upon the
progress during the last cycle by responding to the evolving needs of our investigators, (v) administer an
Enrichment Program that delivers outstanding training and education across the continuum of research
activity, and (vi) leverage substantial institutional commitments (>$1.5 million) to advance these aims.
 Three complementary Cores will continue to integrate existing intellectual and technological
resources of UAB and UCSD and provide a defined set of services to facilitate investigator-initiated AKI-
related research. The Cores include: 1) Resource for Clinical Studies of AKI (clinical research, registry and
biorepository including human kidney tissues); 2) Resource for Pre-Clinical Studies of AKI (animal models,
small animal imaging and physiology); 3) Bioanalytical Core (bioenergetics, biomarkers, small molecule
analysis). A Biostatistical Resource will provide support for the cores and pilot projects. The Center also
includes an active and productive PAF program designed to attract new investigators into the field and yield
a high return on investment in terms of extramural funding and publications. In the prior 4 years of funding,
the Center has galvanized our research community and created a robust collaborative environment
particularly for AKI research integrating two institutions and resulting in 220 publications. The Internal
Research Base includes 100 investigators (from UAB and UCSD) with NIDDK funding of $9.6 million in
annual direct costs and 88 investigators from other institutions that form an Extended Research Base.
Twelve pilot awardees were funded, and we propose to fund 3-4 pilots/year in this renewal cycle. The
Center will continue to promote a seamless integration of expertise and resources at both institutions for
innovative and productive research needed for the translation of new insights into novel therapies for
patients with AKI.","Project Narrative
Acute kidney injury (AKI) is a major cause for morbidity and mortality in hospitalized patients and is being
increasingly recognized as a cause for chronic kidney disease. AKI doubles the length of stay in the
hospital, increasing health care resources. The UAB-UCSD O'Brien Center has brought together a team of
investigators to serve unmet needs of our investigator base and to fill the gaps in knowledge in the field of
AKI and AKI-related research.",2019,148500,100000,48500,Research Centers,P30,National Institute of Diabetes and Digestive and Kidney Diseases,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Clinical Research; Kidney Disease,ANUPAM  AGARWAL
5I01BX004047-02,Lymphangiogenesis in the pathogenesis of Acute Kidney Injury,"Acute kidney injury (AKI) is a common and serious complication of medical and surgical diseases that
has significant attributable morbidity and mortality in critically ill Veterans. Analysis of Veterans Health
Administrative data reported that Veterans who develop AKI during a hospitalization are at substantial risk for
the development of chronic kidney disease (CKD) within 1 year. Numerous therapeutic interventions have
been evaluated in clinical trials to overcome this significant clinical challenge, with none proven successful.
The overall goal of this proposal is to fill this gap in knowledge by discovering new targets that could be
exploited for therapeutic interventions in AKI.
 The lymphatic system is crucial for maintaining fluid balance, transporting lipids, and aiding in immune
function. During pathological conditions that involve inflammation such as would occur in AKI and the AKI to
CKD transition, these functions of the lymphatic system are further accentuated. Inflammation induces
lymphangiogenesis through expression of vascular endothelial growth factors (VEGFs), particularly VEGF-C,
VEGF-D, and their receptor VEGF-R3. New lymphatic vessels can then aid in transition of inflammatory cells,
removing the cellular debris from the microenvironment of inflammation-induced injury, draining the excess
fluid and ultimately facilitating tissue repair. While recent studies have shown lymphangiogenesis to be an
active participant in a number of inflammatory diseases, very little is known about the role of the lymphatic
system and more importantly, lymphangiogenesis, in the pathogenesis of AKI and the AKI to CKD transition.
Our preliminary data demonstrate a significant upregulation of lymphangiogenic markers along with increased
lymphatic vessel density during AKI.
Our central hypothesis is that inflammation associated lymphangiogenesis (IAL), regulated by
VEGF-C expression in myeloid and proximal tubule cells, is involved in the resolution of inflammation following
AKI and the AKI to CKD transition.
The aims of this proposal are designed to 1) determine how
lymphangiogenesis modulates AKI; 2) determine how lymphangiogenesis affects the AKI to CKD transition;
and 3) determine the cross-talk between the proximal tubule and myeloid cells in regulating
lymphangiogenesis, inflammation, and AKI. Successful completion of the aims of this project will help
elucidate the underlying mechanisms involved in the pathogenesis of AKI during both injury and the recovery
phases and have the potential to provide new avenues for therapeutic interventions in AKI.","Acute kidney injury (AKI) is a common and serious complication in hospitalized Veterans.
Patients with AKI are at significant risk for the subsequent development of chronic kidney disease
(CKD). This proposal will focus on the lymphatic system, which is crucial for maintaining fluid
balance, transporting lipids, and aiding in immune function, within the kidney particularly during
AKI and the AKI to CKD transition. Successful completion of the aims of this project will help better
understand the pathogenesis of AKI during both injury and repair and could provide new avenues
targeting the lymphatic system for therapeutic interventions in AKI.",2019,,,,Non-SBIR/STTR,I01,Veterans Affairs,BIRMINGHAM VA MEDICAL CENTER,AL,BIRMINGHAM,Independent Hospitals,352331927,,ANUPAM  AGARWAL
5P30DK079337-12,UAB-UCSD O'Brien Center for Acute Kidney Injury Research,"Project Summary
 Kidney diseases in general and acute kidney injury (AKI) in particular impose substantial morbidity
and mortality; these remain unabated in recent decades despite concerted efforts to reduce both. The
overall mission of the University of Alabama at Birmingham (UAB)-University of California San Diego
(UCSD) O'Brien Center for AKI Research is to improve the health of patients by fostering research
specifically targeted to the prevention and treatment of AKI and its complications. To achieve this mission,
this Center crosses institutional boundaries and research fields to harness the momentum and ingenuity of
ongoing pre-clinical and clinical research in both institutions. The following aims are proposed: i) facilitate
hypothesis-driven research through shared core facilities and leverage these technologies into new projects
and collaborations, (ii) foster relevant interactions among UAB-UCSD investigators from different disciplines
and extend these interactions to investigators from multiple institutions, (iii) provide, through the Biomedical
Research Cores, a Pilot and Feasibility Grants (PAF) Program, and attract new and established
investigators to AKI research by capitalizing on our research cores and infrastructure, (iv) build upon the
progress during the last cycle by responding to the evolving needs of our investigators, (v) administer an
Enrichment Program that delivers outstanding training and education across the continuum of research
activity, and (vi) leverage substantial institutional commitments (>$1.5 million) to advance these aims.
 Three complementary Cores will continue to integrate existing intellectual and technological
resources of UAB and UCSD and provide a defined set of services to facilitate investigator-initiated AKI-
related research. The Cores include: 1) Resource for Clinical Studies of AKI (clinical research, registry and
biorepository including human kidney tissues); 2) Resource for Pre-Clinical Studies of AKI (animal models,
small animal imaging and physiology); 3) Bioanalytical Core (bioenergetics, biomarkers, small molecule
analysis). A Biostatistical Resource will provide support for the cores and pilot projects. The Center also
includes an active and productive PAF program designed to attract new investigators into the field and yield
a high return on investment in terms of extramural funding and publications. In the prior 4 years of funding,
the Center has galvanized our research community and created a robust collaborative environment
particularly for AKI research integrating two institutions and resulting in 220 publications. The Internal
Research Base includes 100 investigators (from UAB and UCSD) with NIDDK funding of $9.6 million in
annual direct costs and 88 investigators from other institutions that form an Extended Research Base.
Twelve pilot awardees were funded, and we propose to fund 3-4 pilots/year in this renewal cycle. The
Center will continue to promote a seamless integration of expertise and resources at both institutions for
innovative and productive research needed for the translation of new insights into novel therapies for
patients with AKI.","Project Narrative
Acute kidney injury (AKI) is a major cause for morbidity and mortality in hospitalized patients and is being
increasingly recognized as a cause for chronic kidney disease. AKI doubles the length of stay in the
hospital, increasing health care resources. The UAB-UCSD O'Brien Center has brought together a team of
investigators to serve unmet needs of our investigator base and to fill the gaps in knowledge in the field of
AKI and AKI-related research.",2019,1126073,925134,200939,Research Centers,P30,National Institute of Diabetes and Digestive and Kidney Diseases,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,,ANUPAM  AGARWAL
2T32DK007545-31,Interdisciplinary Training in Kidney-Related Research,"ABSTRACT:
 The primary goal of this ongoing interdisciplinary training program, currently in the 30th year, is to bring
together pre-clinical scientists and translational investigative researchers to catalyze the transformation of
postdoctoral fellows from both basic science and clinical disciplines into independent academic faculty
committed to kidney-relevant research. The training program builds on new initiatives in renal
pathophysiology, cell and molecular biology, vascular biology, basic immunology, genetics, transplantation,
acute and chronic kidney disease and in clinical and translational research. The UAB Clinical and
Translational Science Award, the Office of Postdoctoral Education, and the Physician Scientist Development
Office provide essential facilities that embrace trainee education as well as mentor training, also a major goal
of this program. The Program accepts PhD and MD scientists from a large applicant pool that includes
physicians in the ABIM Research pathway, which recruits highly meritorious candidates to pursue a career in
academic medicine.
 Thirty (54%) of our 55 trainees are in academia, 11% are still pursuing post-graduate training and 9% have
pursued non-academic positions, although still in science-based careers. Trainees have been successful in
obtaining 25 highly competitive extramural grants, including 17 career development awards. During the past
10 years, all positions have been filled and the 24 trainees have published 67 peer-reviewed publications.
During this funding cycle, the training program included 5 outstanding clinical and 2 underrepresented minority
trainees. Four of our trainees have obtained K awards, one has an AHA National Scientist Development
Award and two have pending K awards. These trainees have transitioned to faculty positions and pursuing
kidney-related research.
 The program has benefitted from a multidisciplinary collaborative faculty from 10 Departments and robust
institutional infrastructure and support. The strong commitment of the 45 preceptors, organized in four
thematic areas - renal physiology and pathophysiology, epithelial biology, vascular biology related to kidney
disease and clinical and translational research â€“ who are actively involved in the training of young scientists in
the use of basic and applied approaches are also strengths of this training grant. The collaborative
environment of our institution, embodied in the University-Wide Interdisciplinary Research Centers Program,
the Nephrology Research and Training Center, and the NIDDK-funded O'Brien Center, provides an ideal
setting for the implementation of interdisciplinary kidney-related research and training. Based on the
accomplishments during this cycle, continued support of four postdoctoral trainees is being requested in this
competing renewal application.","PROJECT NARRATIVE:
The Interdisciplinary Training in Kidney-Related Diseases Training Program is focused on
training basic and translational investigators to be productive, highly motivated investigators in
the future. Our trainees are selected from a competitive pool of independent postdoctoral
fellows who show interest in furthering the fundamental understanding of diseases of the kidney.",2019,241345,267264,20517,"Training, Institutional",T32,National Institute of Diabetes and Digestive and Kidney Diseases,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Kidney Disease,ANUPAM  AGARWAL
5U54ES030246-02,Project 3: Intercepting Renal Damage following Skin Exposure to Arsenicals,"Arsenicals are an important category of chemical weapons due to their devastating effects on the skin as well
as systemic effects damaging multiple organs including the kidney and lung. This project is based on our
findings that cutaneous exposure to lewisite, an arsenical first synthesized during world war I, not only
damages skin but is also rapidly absorbed and exerts toxic effects in the kidney leading to both acute and
delayed kidney damage. Preliminary studies demonstrate that arsenicals cause epigenetic histone remodeling
by hyperacetylation and recruitment of BRD4 to promoter regions of inducible genes associated with
inflammation and tissue damage. BRD4 is a member of the bromo- and extra-terminal domain family of
proteins. In addition, we observed marked upregulation of the cytoprotective protein, heme oxygenase-1 (HO-
1) in the kidney following topical exposure to lewisite. Arsenicals induce higher expression of BRD4 and
inflammatory signaling genes in HO-1 knockout mice as compared to wild-type littermates, suggesting the
importance of HO-1 in epigenetic regulation of inflammatory responses. Taken together, these studies
underscore the significance of both acute and delayed kidney damage following a single cutaneous arsenical
exposure and identify two potential inter-related molecular targets, BRD4 and HO-1 in renal injury.
 The overall goal of this project is to develop mechanism-based post-exposure countermeasures that
can mitigate arsenical-induced kidney damage. Our hypothesis is that toxic doses of arsenicals cause
acetylation of proteins (histones) and subsequent recruitment of bromodomain proteins resulting in activation
of injury pathways and that blocking bromodomain signaling or its downstream effectors can mitigate kidney
injury. In Aim 1, an arsenical mediated murine model of AKI will be characterized to determine the dose- and
time-dependence of kidney damage. In Aim 2, we determine the mechanisms by which arsenicals cause AKI
focusing on BRD4 and HO-1 for intervention in arsenicals-induced AKI. In Aim 3, we will develop targeted
therapeutic intervention in arsenical-induced AKI to determine the optimal window for the beneficial effects by
post-exposure treatment in animals exposed to arsenicals. Both FDA approved and novel small molecules will
be assessed in this aim. Successful completion of our research as proposed here will not only provide an
effective antidote for chemical injury but will also contribute to a broader understanding of how endogenous
epigenetic responses can be exploited towards developing new therapeutic strategies for AKI.",,2019,564771,452559,112212,Research Centers,U54,National Institute of Environmental Health Sciences,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,Domestic Higher Education,352940001,Biodefense; Genetics; Kidney Disease,ANUPAM  AGARWAL
3P30DK079337-12S2,UAB-UCSD O'Brien Center for Acute Kidney Injury Research,"Project Summary
 Kidney diseases in general and acute kidney injury (AKI) in particular impose substantial morbidity
and mortality; these remain unabated in recent decades despite concerted efforts to reduce both. The
overall mission of the University of Alabama at Birmingham (UAB)-University of California San Diego
(UCSD) O'Brien Center for AKI Research is to improve the health of patients by fostering research
specifically targeted to the prevention and treatment of AKI and its complications. To achieve this mission,
this Center crosses institutional boundaries and research fields to harness the momentum and ingenuity of
ongoing pre-clinical and clinical research in both institutions. The following aims are proposed: i) facilitate
hypothesis-driven research through shared core facilities and leverage these technologies into new projects
and collaborations, (ii) foster relevant interactions among UAB-UCSD investigators from different disciplines
and extend these interactions to investigators from multiple institutions, (iii) provide, through the Biomedical
Research Cores, a Pilot and Feasibility Grants (PAF) Program, and attract new and established
investigators to AKI research by capitalizing on our research cores and infrastructure, (iv) build upon the
progress during the last cycle by responding to the evolving needs of our investigators, (v) administer an
Enrichment Program that delivers outstanding training and education across the continuum of research
activity, and (vi) leverage substantial institutional commitments (>$1.5 million) to advance these aims.
 Three complementary Cores will continue to integrate existing intellectual and technological
resources of UAB and UCSD and provide a defined set of services to facilitate investigator-initiated AKI-
related research. The Cores include: 1) Resource for Clinical Studies of AKI (clinical research, registry and
biorepository including human kidney tissues); 2) Resource for Pre-Clinical Studies of AKI (animal models,
small animal imaging and physiology); 3) Bioanalytical Core (bioenergetics, biomarkers, small molecule
analysis). A Biostatistical Resource will provide support for the cores and pilot projects. The Center also
includes an active and productive PAF program designed to attract new investigators into the field and yield
a high return on investment in terms of extramural funding and publications. In the prior 4 years of funding,
the Center has galvanized our research community and created a robust collaborative environment
particularly for AKI research integrating two institutions and resulting in 220 publications. The Internal
Research Base includes 100 investigators (from UAB and UCSD) with NIDDK funding of $9.6 million in
annual direct costs and 88 investigators from other institutions that form an Extended Research Base.
Twelve pilot awardees were funded, and we propose to fund 3-4 pilots/year in this renewal cycle. The
Center will continue to promote a seamless integration of expertise and resources at both institutions for
innovative and productive research needed for the translation of new insights into novel therapies for
patients with AKI.","Project Narrative
Acute kidney injury (AKI) is a major cause for morbidity and mortality in hospitalized patients and is being
increasingly recognized as a cause for chronic kidney disease. AKI doubles the length of stay in the
hospital, increasing health care resources. The UAB-UCSD O'Brien Center has brought together a team of
investigators to serve unmet needs of our investigator base and to fill the gaps in knowledge in the field of
AKI and AKI-related research.",2019,32000,29630,2370,Research Centers,P30,National Institute of Diabetes and Digestive and Kidney Diseases,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Clinical Research; Kidney Disease,ANUPAM  AGARWAL
5R01DK059600-15,Human Heme Oxygenase-1 Gene Regulation in Renal Injury,"ï»¿   
DESCRIPTION (provided by applicant): Acute kidney injury is a common and serious complication of medical and surgical diseases that has significant attributable morbidity and mortality. Multiple epidemiological studies suggest a relationship of acute kidney injury with the subsequent development of chronic kidney disease. The overall goal of this project is to elucidate the biologic basis for the cytoprotective effects of heme oxygenase-1 (HO-1) and generate relevant and feasible therapeutic strategies based on induction of HO-1 expression in acute kidney injury. During the previous project period we focused on the mechanisms underlying the protective effects of HO-1 and the molecular regulation of HO-1 gene expression in acute kidney injury. Our studies have (i) identified a novel enhancer sequence that regulates human HO-1 gene expression, (ii) generated a number of conditional cell/tissue specific HO-1 mouse strains, (iii) the discovery that HO-1 can regulate autophagy in acute kidney injury, and (iv) HO-1 regulates the trafficking of myeloid derived immune cells, and lack of myeloid HO-1 impairs recovery from acute kidney injury and results in increased fibrosis. Using the knowledgebase generated during the last funding cycle, we will address the central hypothesis that HO-1 expression regulates cross-talk between the renal proximal tubules and myeloid cells, and HO-1 upregulation either in tubules or myeloid cells will not only protect against acute kidney injury, but also the subsequent evolution of chronic kidney disease. We will execute the following specific aims: Aim 1: To test the hypothesis that proximal tubule HO-1 expression affects differentiation, infiltration, and trafficking of myeloid cells in acute kidney injury; Aim2: To test the hypothesis that myeloid cell HO-1 expression modulates inflammation in acute kidney injury and the transition to chronic kidney disease; and Aim 3: To test the hypothesis that HO-1 induction using small molecules will provide protection against acute kidney injury and the transition to chronic kidney disease. Successful completion of the studies in this renewal application will (i) provide key information on the protective mechanisms in acute kidney injury, (ii) highlight the role for HO-1 in orchestrating the cross-talk between the renal tubules and myeloid cells, and (iii) provide novel candidate agents to be potentially utilized in the preventio and treatment of acute kidney injury, thereby paving the way for a new therapeutic approach in this disease.","PUBLIC HEALTH RELEVANCE: Acute kidney injury is a condition that is associated with significant morbidity and mortality particularly in critically ill patients. The goal of this projet is to understand the protective mechanisms in the pathogenesis of acute kidney injury focusing on an anti-oxidant and anti- inflammatory protein, heme oxygenase-1. The results of the proposed studies will also be applicable to other diseases associated with inflammation and oxidative stress such as sepsis, acute lung injury, and heart disease wherein heme oxygenase-1 is known to exert a protective effect.",2019,440507,361213,79294,Non-SBIR/STTR,R01,National Institute of Diabetes and Digestive and Kidney Diseases,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Biotechnology; Genetics; Kidney Disease,ANUPAM  AGARWAL; James F George
5F31MH114316-04,Altered Dopamine Transporter Function in Autism,"PROJECT SUMMARY
Dopamine (DA) plays key roles in the central nervous system by regulating a variety of physiological states,
including cognition, motivation, and attention. While DA dysfunction is known to be involved in several
neuropsychiatric disorders, its role in the pathogenesis of Autism Spectrum Disorders (ASD) as well as
comorbidities associated with ASD (e.g. Attention Deficit Hyperactivity Disorder) are largely unknown.
The DA transporter (DAT) is a key constituent of DA signaling in the CNS and the principal regulator of DA
homeostasis, mediating the active re-uptake of DA from the synapse following its release upon action potential
depolarization. The research proposed focuses on understanding how rare variants (RVs) in the human DAT
(hDAT) gene (SLC6A3) identified in several ASD subjects cause aberrant hDAT function and disrupted DA-
associated behaviors. Importantly, this work will determine how RVs in hDAT support DA dysfunction, a
complication associated with ASD.
Our laboratory recently defined the first ASD identified de novo mutation in hDAT. This mutation located in the
seventh transmembrane domain, a region critical to DA uptake and efflux, dramatically alters hDAT function
both in vitro and in vivo. Notably, this de novo DAT mutation alters DA neurotransmission and DA-associated
behaviors as observed in Drosophila melanogaster. The work presented in this proposal aims to create a novel
set of discoveries exploiting the structural, functional and behavioral findings from the analysis of new hDAT
variants identified in multiple individuals with ASD.
We will (S.A. #1) engineer the hDAT ASD variants to determine their putative structural and functional deficits
in heterologous expression systems. We will generate transgenic Drosophila lines expressing hDAT wildtype
or hDAT variants specifically in DAergic neurons to determine the functional impairments of these hDAT
variants in whole, intact Drosophila brains. We will use (S.A. #2) these transgenic Drosophila lines to evaluate
the behavioral significance of hDAT dysfunction supported by these hDAT variants.","PROJECT NARRATIVE
Dopamine plays key roles in motivation, reward, and cognition as well as in the pathophysiology associated
with various neuropsychiatric disorders. Multiple rare, functional gene variants possibly resulting in dysfunction
of dopamine neurotransmission have been identified in autism spectrum disorder. The three-year project
proposed will determine the impact of these autism-identified variants in vitro, ex vivo, and importantly, in vivo.",2019,29892,29892,0,"Training, Individual",F31,National Institute of Mental Health,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,SCHOOLS OF MEDICINE,352940001,Autism; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Genetics; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric,Jenny Isabel Aguilar
